Word;POS;Pronunciation;CEFR_level;No;Modern definition;Example
academic;adjective;/ˌæk.əˈdem.ɪk/;B2;1;relating to schools, colleges, and universities, or connected with studying and thinking, not with practical skills;"academic subjects / books / institution
"
academic;adjective;/ˌæk.əˈdem.ɪk/;C2;2;used to describe someone who is clever and enjoys studying;The school is noted for its academic excellence.
academic;adjective;/ˌæk.əˈdem.ɪk/;C2;3;based on ideas and theories and not related to practical effects in real life;a purely academic argument / question
academic;noun;/ˌæk.əˈdem.ɪk/;C2;1;someone who teaches at a college, or who studies as part of their job;
education;noun;/ˌedʒ.ʊˈkeɪ.ʃən/;B1;1;the process of teaching or learning, especially in a school or college, or the knowledge that you get from this;As a child he received most of his education at home.
education;noun;/ˌedʒ.ʊˈkeɪ.ʃən/;B1;2;AmE. the study of methods and theories of teaching;She has a master’s degree in early childhood education.
examination;noun; /ɪɡˌzæm.ɪˈneɪ.ʃən/;B2;1;the act of looking at or considering something carefully in order to discover something;I had to have / undergo a medical examination when I joined the pension scheme.
examination;noun; /ɪɡˌzæm.ɪˈneɪ.ʃən/;A2;2;a formal test that you must pass in order to earn a particular qualification or to be allowed to do a particular job (an exam);to take / pass / fail an examination
manager;noun;/ˈmæn.ɪ.dʒər/;A2;1;the person who is responsible for managing an organization or whose job is to organize sports team / singer / actor;a bank / station / store / football manager
manager;noun;/ˈmæn.ɪ.dʒər/;A2;2;spec. computer program or system that helps you to control or organize a particular type of activity;You can click on a file in the file manager.
professional;adjective;/prəˈfeʃ.ən.əl/;B2;1;relating to work that needs special training or education ;Chris, you're a nurse, so can I ask your professional opinion on bandaging ankles?
professional;adjective;/prəˈfeʃ.ən.əl/;B1;2;having the qualities that you connect with trained and skilled people, such as effectiveness, skill, organization, and seriousness of manner;She always looks very professional in her smart suits.
professional;adjective;/prəˈfeʃ.ən.əl/;B1;3;used to describe someone who does a job that people usually do as a hobby;She's a professional dancer / photographer.
professional;noun;/prəˈfeʃ.ən.əl/;C1;1;a person who has the type of job that needs a high level of education and training;health professionals
professional;noun;/prəˈfeʃ.ən.əl/;C1;2;informal. someone who has worked hard in the same type of job for a long time and has become skilled at dealing with any problem that might happen;I thought the whole meeting was going to fall apart but you rescued it like a true professional!
professional;noun;/prəˈfeʃ.ən.əl/;B2;3;a person who does a job that people usually do as a hobby;He's only been playing football as a professional for two years.
school;noun;/skuːl/;A1;1;a place where children go to be educated or a where people can study a particular subject ;a primary / secondary / driving / dancing school
school;noun;/skuːl/;A2;2;a part of a college or university specializing in a particular subject or group of subjects;the School of Oriental and African Studies
school;noun;/skuːl/;B1;3;a group of painters, writers, poets, etc. whose work is similar, especially similar to that of a particular leader;the Impressionist school of painting
school;verb;/skuːl/;B1;1;to train a person or animal to do something;It takes a lot of patience to school a dog / horse.
science;noun;/ˈsaɪ.əns/;A2;1;(knowledge from) the careful study of the structure and behaviour of the world, especially by doing experiments;Space travel is one of the wonders of modern science.
student;noun;/ˈstjuː.dənt/;A1;1;a person who is learning at a school, college or university;Teachers use a variety of materials to inspire their students.
teacher;noun;/ˈtiː.tʃər/;A1;1;someone whose job is to teach in a school or college;The teacher drew a diagram showing how the blood flows through the heart.
university;noun; /ˌjuː.nɪˈvɜː.sə.ti/;A1;1;a place of higher education where people study for an undergraduate (= first) or postgraduate (= higher level) degree;She applied to six universities and was accepted by three.
